Strategy,K,Track,FS,Gap,FavMin,Cond,Card,Races,Hits,ROI%,HitRate%,AvgPay,TrainROI%,TestROI%,LOOCV_PosYrs,LOOCV_PosRatio,LOOCV_MedianROI,LOOCV_MeanROI
K1W8_BEL_FS10-14_Gap0.20_Fav0.30_all_midlate,8,BEL,10-14,0.2,0.3,all,midlate,231,84,15.6,36.36,667.6,14.96,18.77,10/13,0.769,16.58,19.0
K1W8_BEL_FS10-13_Gap0.15_Fav0.35_fast_all,8,BEL,10-13,0.15,0.35,fast,all,259,96,14.74,37.07,650.1,14.21,17.51,10/13,0.769,22.48,21.4
K1W8_BEL_FS10-14_Gap0.15_Fav0.35_fast_all,8,BEL,10-14,0.15,0.35,fast,all,261,96,13.86,36.78,650.1,13.16,17.51,10/13,0.769,18.67,20.7
K1W8_BEL_FS11-12_Gap0.25_Fav0.40_fast_midlate,8,BEL,11-12,0.25,0.4,fast,midlate,55,24,81.07,43.64,871.38,55.03,293.73,9/12,0.75,58.065,158.9
K1W8_CD_FS10-12_Gap0.10_Fav0.00_fast_all,8,CD,10-12,0.1,0.0,fast,all,985,275,13.87,27.92,856.53,14.09,13.55,11/15,0.733,10.58,14.8
K1W7_OP_FS11-12_Gap0.05_Fav0.00_all_late,7,OP,11-12,0.05,0.0,all,late,505,87,35.02,17.23,940.46,42.68,29.33,10/14,0.714,31.669999999999998,37.7
K1W7_OP_FS11-13_Gap0.05_Fav0.00_all_late,7,OP,11-13,0.05,0.0,all,late,512,87,33.17,16.99,940.46,41.37,27.14,10/14,0.714,31.669999999999998,36.0
K1W7_OP_FS11-14_Gap0.05_Fav0.00_all_late,7,OP,11-14,0.05,0.0,all,late,518,87,31.63,16.8,940.46,40.08,25.44,10/14,0.714,27.895,34.5
K1W7_OP_FS10-11_Gap0.05_Fav0.30_fast_midlate,7,OP,10-11,0.05,0.3,fast,midlate,388,84,8.34,21.65,600.5,-5.23,21.77,10/14,0.714,4.46,2.4
K1W7_OP_FS10-11_Gap0.10_Fav0.00_fast_midlate,7,OP,10-11,0.1,0.0,fast,midlate,412,84,8.01,20.39,635.72,8.51,7.5,10/14,0.714,19.18,9.6
K1W7_OP_FS10-11_Gap0.05_Fav0.30_all_midlate,7,OP,10-11,0.05,0.3,all,midlate,500,102,0.57,20.4,591.56,-7.32,7.34,10/14,0.714,7.225,-3.8
K1W7_BEL_FS11-12_Gap0.22_Fav0.40_fast_midlate,7,BEL,11-12,0.22,0.4,fast,midlate,61,21,149.47,34.43,869.58,105.65,487.5,9/13,0.692,91.35,276.5
