Strategy,FS,Gap,FavMin,Cond,Card,Races,Hits,ROI%,HitRate%,AvgPay,TrainROI%,TestROI%,TrainRaces,TestRaces,PosYears
K1W7_BEL_FS11-13_Gap0.12_Fav0.40_fast_all,11-13,0.12,0.4,fast,all,81,28,107.88,34.57,721.63,83.68,234.42,68,13,8/13
K1W7_BEL_FS11-13_Gap0.14_Fav0.40_fast_all,11-13,0.14,0.4,fast,all,81,28,107.88,34.57,721.63,83.68,234.42,68,13,8/13
K1W7_BEL_FS11-14_Gap0.15_Fav0.40_fast_all,11-14,0.15,0.4,fast,all,81,27,107.1,33.33,745.56,82.76,234.42,68,13,8/13
K1W7_BEL_FS11-14_Gap0.18_Fav0.40_fast_all,11-14,0.18,0.4,fast,all,81,27,107.1,33.33,745.56,82.76,234.42,68,13,8/13
K1W7_BEL_FS11-13_Gap0.20_Fav0.00_fast_midlate,11-13,0.2,0.0,fast,midlate,105,32,107.05,30.48,815.26,86.32,207.23,87,18,9/13
K1W7_BEL_FS11-13_Gap0.20_Fav0.30_fast_midlate,11-13,0.2,0.3,fast,midlate,105,32,107.05,30.48,815.26,86.32,207.23,87,18,9/13
K1W7_BEL_FS11-14_Gap0.20_Fav0.33_fast_midlate,11-14,0.2,0.33,fast,midlate,105,32,107.05,30.48,815.26,86.32,207.23,87,18,9/13
K1W7_BEL_FS11-12_Gap0.18_Fav0.35_fast_midlate,11-12,0.18,0.35,fast,midlate,104,33,106.02,31.73,779.12,86.83,211.57,88,16,9/13
K1W7_BEL_FS11-12_Gap0.22_Fav0.35_fast_all,11-12,0.22,0.35,fast,all,97,31,105.94,31.96,773.28,94.57,163.49,81,16,9/13
K1W7_BEL_FS11-14_Gap0.22_Fav0.37_fast_all,11-14,0.22,0.37,fast,all,97,31,105.94,31.96,773.28,92.2,181.06,82,15,9/13
K1W7_BEL_FS11-12_Gap0.15_Fav0.40_all_midlate,11-12,0.15,0.4,all,midlate,78,26,105.86,33.33,741.08,70.6,376.13,69,9,9/13
K1W7_BEL_FS11-12_Gap0.18_Fav0.40_all_midlate,11-12,0.18,0.4,all,midlate,78,26,105.86,33.33,741.08,70.6,376.13,69,9,9/13
K1W7_BEL_FS11-12_Gap0.20_Fav0.37_fast_all,11-12,0.2,0.37,fast,all,102,35,105.67,34.31,719.25,92.15,178.34,86,16,9/13
K1W7_BEL_FS11-14_Gap0.05_Fav0.40_fast_all,11-14,0.05,0.4,fast,all,82,28,105.34,34.15,721.63,81.02,234.42,69,13,8/13
K1W7_BEL_FS11-14_Gap0.08_Fav0.40_fast_all,11-14,0.08,0.4,fast,all,82,28,105.34,34.15,721.63,81.02,234.42,69,13,8/13
K1W7_BEL_FS11-14_Gap0.10_Fav0.40_fast_all,11-14,0.1,0.4,fast,all,82,28,105.34,34.15,721.63,81.02,234.42,69,13,8/13
K1W7_BEL_FS11-14_Gap0.12_Fav0.40_fast_all,11-14,0.12,0.4,fast,all,82,28,105.34,34.15,721.63,81.02,234.42,69,13,8/13
K1W7_BEL_FS11-14_Gap0.14_Fav0.40_fast_all,11-14,0.14,0.4,fast,all,82,28,105.34,34.15,721.63,81.02,234.42,69,13,8/13
K1W7_BEL_FS11-14_Gap0.20_Fav0.00_fast_midlate,11-14,0.2,0.0,fast,midlate,106,32,105.1,30.19,815.26,84.21,207.23,88,18,9/13
K1W7_BEL_FS11-14_Gap0.20_Fav0.30_fast_midlate,11-14,0.2,0.3,fast,midlate,106,32,105.1,30.19,815.26,84.21,207.23,88,18,9/13
K1W7_BEL_FS11-13_Gap0.22_Fav0.00_fast_all,11-13,0.22,0.0,fast,all,106,32,104.05,30.19,811.1,97.88,134.21,88,18,8/13
K1W7_BEL_FS11-13_Gap0.22_Fav0.30_fast_all,11-13,0.22,0.3,fast,all,106,32,104.05,30.19,811.1,97.88,134.21,88,18,8/13
K1W7_BEL_FS11-13_Gap0.22_Fav0.33_fast_all,11-13,0.22,0.33,fast,all,106,32,104.05,30.19,811.1,97.88,134.21,88,18,8/13
K1W7_BEL_FS11-12_Gap0.05_Fav0.40_all_midlate,11-12,0.05,0.4,all,midlate,79,27,104.05,34.18,716.43,69.06,376.13,70,9,9/13
K1W7_BEL_FS11-12_Gap0.08_Fav0.40_all_midlate,11-12,0.08,0.4,all,midlate,79,27,104.05,34.18,716.43,69.06,376.13,70,9,9/13
K1W7_BEL_FS11-12_Gap0.10_Fav0.40_all_midlate,11-12,0.1,0.4,all,midlate,79,27,104.05,34.18,716.43,69.06,376.13,70,9,9/13
K1W7_BEL_FS11-12_Gap0.12_Fav0.40_all_midlate,11-12,0.12,0.4,all,midlate,79,27,104.05,34.18,716.43,69.06,376.13,70,9,9/13
K1W7_BEL_FS11-12_Gap0.14_Fav0.40_all_midlate,11-12,0.14,0.4,all,midlate,79,27,104.05,34.18,716.43,69.06,376.13,70,9,9/13
K1W7_BEL_FS11-12_Gap0.10_Fav0.37_fast_midlate,11-12,0.1,0.37,fast,midlate,95,30,103.54,31.58,773.45,78.29,262.77,82,13,9/13
K1W7_BEL_FS11-12_Gap0.12_Fav0.37_fast_midlate,11-12,0.12,0.37,fast,midlate,95,30,103.54,31.58,773.45,78.29,262.77,82,13,9/13
K1W7_BEL_FS11-12_Gap0.14_Fav0.37_fast_midlate,11-12,0.14,0.37,fast,midlate,95,30,103.54,31.58,773.45,78.29,262.77,82,13,9/13
K1W7_BEL_FS11-12_Gap0.20_Fav0.33_fast_midlate,11-12,0.2,0.33,fast,midlate,99,31,102.9,31.31,777.58,77.53,225.3,82,17,9/13
K1W7_BEL_FS11-13_Gap0.15_Fav0.37_fast_midlate,11-13,0.15,0.37,fast,midlate,95,29,102.88,30.53,797.51,79.72,236.86,81,14,8/13
K1W7_BEL_FS11-14_Gap0.22_Fav0.00_fast_all,11-14,0.22,0.0,fast,all,107,32,102.14,29.91,811.1,95.66,134.21,89,18,8/13
K1W7_BEL_FS11-14_Gap0.22_Fav0.30_fast_all,11-14,0.22,0.3,fast,all,107,32,102.14,29.91,811.1,95.66,134.21,89,18,8/13
K1W7_BEL_FS11-14_Gap0.22_Fav0.33_fast_all,11-14,0.22,0.33,fast,all,107,32,102.14,29.91,811.1,95.66,134.21,89,18,8/13
K1W7_BEL_FS11-13_Gap0.22_Fav0.40_all_midlate,11-13,0.22,0.4,all,midlate,79,25,101.58,31.65,764.4,68.17,361.5,70,9,9/13
K1W7_BEL_FS11-12_Gap0.05_Fav0.37_fast_midlate,11-12,0.05,0.37,fast,midlate,96,30,101.42,31.25,773.45,78.29,236.86,82,14,9/13
K1W7_BEL_FS11-12_Gap0.08_Fav0.37_fast_midlate,11-12,0.08,0.37,fast,midlate,96,30,101.42,31.25,773.45,78.29,236.86,82,14,9/13
K1W7_BEL_FS11-12_Gap0.20_Fav0.00_fast_midlate,11-12,0.2,0.0,fast,midlate,100,31,100.87,31.0,777.58,75.39,225.3,83,17,9/13
K1W7_BEL_FS11-12_Gap0.20_Fav0.30_fast_midlate,11-12,0.2,0.3,fast,midlate,100,31,100.87,31.0,777.58,75.39,225.3,83,17,9/13
K1W7_BEL_FS11-14_Gap0.15_Fav0.37_fast_midlate,11-14,0.15,0.37,fast,midlate,96,29,100.76,30.21,797.51,77.53,236.86,82,14,8/13
K1W7_BEL_FS11-13_Gap0.20_Fav0.40_all_midlate,11-13,0.2,0.4,all,midlate,80,26,100.71,32.5,741.08,68.17,328.52,70,10,9/13
K1W7_BEL_FS11-13_Gap0.20_Fav0.35_fast_all,11-13,0.2,0.35,fast,all,116,38,100.12,32.76,733.06,92.61,136.13,96,20,9/13
K1W7_BEL_FS11-12_Gap0.25_Fav0.00_fast_midlate,11-12,0.25,0.0,fast,midlate,62,20,99.96,32.26,743.86,59.86,370.68,54,8,8/13
K1W7_BEL_FS11-12_Gap0.25_Fav0.30_fast_midlate,11-12,0.25,0.3,fast,midlate,62,20,99.96,32.26,743.86,59.86,370.68,54,8,8/13
K1W7_BEL_FS11-12_Gap0.25_Fav0.33_fast_midlate,11-12,0.25,0.33,fast,midlate,62,20,99.96,32.26,743.86,59.86,370.68,54,8,8/13
K1W7_BEL_FS11-12_Gap0.25_Fav0.35_fast_midlate,11-12,0.25,0.35,fast,midlate,62,20,99.96,32.26,743.86,59.86,370.68,54,8,8/13
K1W7_BEL_FS11-12_Gap0.25_Fav0.37_fast_midlate,11-12,0.25,0.37,fast,midlate,62,20,99.96,32.26,743.86,59.86,370.68,54,8,8/13
K1W7_BEL_FS11-13_Gap0.20_Fav0.37_fast_all,11-13,0.2,0.37,fast,all,105,35,99.79,33.33,719.25,87.78,161.97,88,17,8/13
K1W7_BEL_FS11-13_Gap0.22_Fav0.35_all_midlate,11-13,0.22,0.35,all,midlate,106,31,99.58,29.25,818.94,81.57,208.9,91,15,9/13
K1W7_BEL_FS11-12_Gap0.18_Fav0.37_fast_all,11-12,0.18,0.37,fast,all,107,36,99.48,33.64,711.47,83.61,183.49,90,17,9/13
K1W7_BEL_FS11-12_Gap0.22_Fav0.37_all_midlate,11-12,0.22,0.37,all,midlate,98,30,99.01,30.61,780.12,74.94,256.42,85,13,9/13
K1W7_BEL_FS11-13_Gap0.18_Fav0.33_fast_midlate,11-13,0.18,0.33,fast,midlate,126,37,98.65,29.37,811.77,82.23,180.76,105,21,9/13
K1W7_BEL_FS11-14_Gap0.20_Fav0.35_fast_all,11-14,0.2,0.35,fast,all,117,38,98.41,32.48,733.06,90.63,136.13,97,20,9/13
K1W7_BEL_FS11-13_Gap0.15_Fav0.40_all_midlate,11-13,0.15,0.4,all,midlate,81,26,98.23,32.1,741.08,65.8,328.52,71,10,9/13
K1W7_BEL_FS11-13_Gap0.18_Fav0.40_all_midlate,11-13,0.18,0.4,all,midlate,81,26,98.23,32.1,741.08,65.8,328.52,71,10,9/13
K1W7_BEL_FS11-14_Gap0.20_Fav0.37_fast_all,11-14,0.2,0.37,fast,all,106,35,97.91,33.02,719.25,85.67,161.97,89,17,8/13
