variant,test_year,rule_id,score,races_factor,qualifies,selected,train_roi,train_races,pos_year_ratio,test_roi,test_profit
sqrt_softbonus,2024,CD_REFINED_K9,3.9595,0.9,True,True,66.88,135,0.62,-14.54,-586.1
sqrt_softbonus,2025,CD_CORE_K8,2.0165,1.25,True,False,10.41,466,0.5,78.21,3120.61
sqrt_softbonus,2025,CD_REFINED_K9,3.9168,0.98,True,True,60.24,147,0.57,-61.12,-821.45
sqrt_lograces,2015,CD_CORE_K8,1.463,0.9878,True,True,15.6,141,0.6,-60.65,-3821.1
sqrt_lograces,2015,CD_REFINED_K9,0.0,0.8093,False,False,-10.5,57,0.6,90.41,2430.3
sqrt_lograces,2016,CD_CORE_K8,0.5732,1.026,True,False,2.22,171,0.5,-8.87,-503.1
sqrt_lograces,2016,CD_REFINED_K9,0.5786,0.835,True,False,1.92,65,0.67,179.28,5421.3
sqrt_lograces,2017,CD_CORE_K8,0.3334,1.055,False,False,0.71,198,0.43,59.3,5603.7
sqrt_lograces,2017,CD_REFINED_K9,2.6067,0.8605,True,True,23.49,74,0.71,-88.28,-4449.1
sqrt_lograces,2018,CD_CORE_K8,1.8626,1.0956,True,False,11.56,243,0.5,-37.62,-2686.4
sqrt_lograces,2018,CD_REFINED_K9,1.2087,0.8969,True,False,4.65,89,0.62,869.41,29212.3
sqrt_lograces,2019,CD_CORE_K8,1.1711,1.1216,False,False,5.52,277,0.44,-13.09,-1429.0
sqrt_lograces,2019,CD_REFINED_K9,4.2363,0.9179,True,False,92.0,99,0.67,11.64,352.1
sqrt_lograces,2020,CD_CORE_K8,0.7426,1.1558,False,False,2.58,329,0.4,-16.34,-1166.6
sqrt_lograces,2020,CD_REFINED_K9,4.662,0.935,True,False,85.3,108,0.7,-73.78,-3222.8
sqrt_lograces,2022,CD_CORE_K8,0.3846,1.1754,False,False,0.81,363,0.36,32.23,2233.8
sqrt_lograces,2022,CD_REFINED_K9,3.9615,0.9575,True,False,68.21,121,0.64,80.95,2719.9
sqrt_lograces,2023,CD_CORE_K8,0.9204,1.1927,False,False,3.43,396,0.42,55.92,3405.58
sqrt_lograces,2023,CD_REFINED_K9,4.6371,0.9732,True,True,69.19,131,0.67,-8.53,-114.6
sqrt_lograces,2024,CD_CORE_K8,1.4745,1.2067,False,False,7.01,425,0.46,45.65,3930.4
sqrt_lograces,2024,CD_REFINED_K9,4.3077,0.9791,True,False,66.88,135,0.62,-14.54,-586.1
sqrt_lograces,2025,CD_CORE_K8,1.9763,1.225,True,False,10.41,466,0.5,78.21,3120.61
sqrt_lograces,2025,CD_REFINED_K9,3.9807,0.996,True,False,60.24,147,0.57,-61.12,-821.45
