Strategy,Races,Wagered,Profit,ROI%,Hits,HitRate%,AvgPay,CostPerRace
K1W8_GP_FS10-11,4220,886200,-212338.0,-23.96,926,21.94,728.0,210.0
K1W8_FS10-12+BigPool+Wet,2905,610050,-146168.0,-23.96,569,19.59,815.0,210.0
Henery_a1.10_Top120,90004,10800384,-2591292.0,-23.99,37861,42.07,217.0,120.0
Henery_a1.00_Top120,90004,10800384,-2592702.0,-24.01,37841,42.04,217.0,120.0
K1W8_SAR_Summer,2815,591150,-142196.0,-24.05,702,24.94,640.0,210.0
Henery_a0.90_Top120,90004,10800384,-2609604.0,-24.16,37776,41.97,217.0,120.0
K1W8_CD+Wet,917,192570,-46598.0,-24.2,201,21.92,726.0,210.0
K1W8_FavVStr+Turf,1375,288750,-69955.0,-24.23,630,45.82,347.0,210.0
Henery_a0.81_Top120,90004,10800384,-2637245.0,-24.42,37714,41.9,216.0,120.0
Henery_a0.70_Top120,90004,10800384,-2639484.0,-24.44,37673,41.86,217.0,120.0
K1W_DynK_FavProb,90005,14700024,-3599665.0,-24.49,26299,29.22,422.0,163.0
K1W8_DMR_FS12-20,433,90930,-22271.0,-24.49,65,15.01,1056.0,210.0
K1W8_Q1,14671,3080910,-757457.0,-24.59,3969,27.05,585.0,210.0
Henery_a1.20_Top210,90004,18898674,-4660177.0,-24.66,48964,54.4,291.0,210.0
K1W8_AQU_FS8-9,3158,663180,-163916.0,-24.72,1027,32.52,486.0,210.0
Henery_a1.10_Top210,90004,18898674,-4692397.0,-24.83,48928,54.36,290.0,210.0
K1W8_GP_FS10-12,6126,1286460,-319518.0,-24.84,1247,20.36,775.0,210.0
Henery_a1.00_Top210,90004,18898674,-4716184.0,-24.96,48914,54.35,290.0,210.0
K1W8_Sprint+CD+Wet,377,79170,-19781.0,-24.99,83,22.02,716.0,210.0
Henery_a0.90_Top210,90004,18898674,-4732748.0,-25.04,48881,54.31,290.0,210.0
Henery_a0.81_Top210,90004,18898674,-4748540.0,-25.13,48858,54.28,290.0,210.0
Henery_a0.70_Top210,90004,18898674,-4760429.0,-25.19,48819,54.24,290.0,210.0
K1W8_GP_FS12-20,2202,462420,-118567.0,-25.64,371,16.85,927.0,210.0
Henery_a0.90_Top210_FS10-12,24991,5248110,-1372090.0,-26.14,7355,29.43,527.0,210.0
Henery_a0.81_Top210_FS10-12,24991,5248110,-1382053.0,-26.33,7336,29.35,527.0,210.0
K1W8_SAR_FS10-11,1086,228060,-60706.0,-26.62,219,20.17,764.0,210.0
K1W8_MTH_FS8-9,2857,599970,-163155.0,-27.19,991,34.69,441.0,210.0
K1W8_OP_FS8-9,2320,487200,-136403.0,-28.0,723,31.16,485.0,210.0
K1W8_GP_FS8-9,8072,1695120,-480946.0,-28.37,2668,33.05,455.0,210.0
